#{"t_start": 1774802972.266297, "env_id": "SimpleCorridor-v0"}
r,l,t
-0.2,13,21.994117
-0.4,15,21.995238
-0.5,16,21.996439
0.2,9,21.997119
-0.6,17,21.998449
-0.4,15,21.999614
-0.5,16,22.000835
-0.0,11,22.001693
0.2,9,22.00239
-0.5,16,22.00366
0.2,9,22.004359
-0.1,12,22.005275
-0.4,15,22.006416
-0.0,11,22.007244
-1.0,21,22.008847
-0.0,11,22.009682
-0.0,11,22.010519
-0.3,14,22.011591
